timestamp,model,latency_seconds
2025-10-03 15:18:47,small,1.0013580322265625e-05
2025-10-03 15:18:47,small,1.0967254638671875e-05
2025-10-03 15:18:47,small,7.152557373046875e-06
2025-10-03 15:18:47,small,2.384185791015625e-05
2025-10-03 15:18:48,small,9.894371032714844e-05
2025-10-03 15:18:48,small,7.081031799316406e-05
2025-10-03 15:18:48,small,0.0001010894775390625
2025-10-03 15:18:48,small,0.00010085105895996094
2025-10-03 15:18:49,small,0.00012111663818359375
2025-10-03 15:18:49,small,0.0001049041748046875
2025-10-03 15:18:49,small,0.00011992454528808594
2025-10-03 15:18:49,small,0.00012493133544921875
2025-10-03 15:18:50,small,0.00012993812561035156
2025-10-03 15:18:50,small,8.511543273925781e-05
2025-10-03 15:18:50,small,9.608268737792969e-05
2025-10-03 15:18:50,small,8.392333984375e-05
2025-10-03 15:18:51,small,0.00014281272888183594
2025-10-03 15:18:51,small,9.012222290039062e-05
2025-10-03 15:18:51,small,3.170967102050781e-05
2025-10-03 15:18:51,small,6.699562072753906e-05
2025-10-03 15:18:52,small,0.00010085105895996094
2025-10-03 15:18:52,small,0.00014591217041015625
2025-10-03 15:18:52,small,5.1021575927734375e-05
2025-10-03 15:18:53,small,0.0001990795135498047
2025-10-03 15:18:53,small,9.870529174804688e-05
2025-10-03 15:18:53,small,9.822845458984375e-05
2025-10-03 15:18:53,small,0.00011491775512695312
2025-10-03 15:18:54,small,0.00012302398681640625
2025-10-03 15:18:54,small,0.00022602081298828125
2025-10-03 15:18:54,small,0.00014400482177734375
2025-10-03 15:18:54,small,0.00012302398681640625
2025-10-03 15:18:55,small,8.106231689453125e-05
2025-10-03 15:18:55,small,0.00014591217041015625
2025-10-03 15:18:55,small,0.00022673606872558594
2025-10-03 15:18:55,small,0.00011014938354492188
2025-10-03 15:18:56,small,0.00011515617370605469
2025-10-03 15:18:56,small,0.0001938343048095703
2025-10-03 15:18:56,small,9.179115295410156e-05
2025-10-03 15:18:56,small,8.702278137207031e-05
2025-10-03 15:18:57,small,0.00013017654418945312
2025-10-03 15:18:57,small,0.000102996826171875
2025-10-03 15:18:57,small,3.981590270996094e-05
2025-10-03 15:18:57,small,7.891654968261719e-05
2025-10-03 15:18:58,small,0.0001227855682373047
2025-10-03 15:18:58,small,7.390975952148438e-05
2025-10-03 15:18:58,small,5.6743621826171875e-05
2025-10-03 15:18:58,small,0.0003349781036376953
2025-10-03 15:18:59,small,5.6743621826171875e-05
2025-10-03 15:18:59,small,3.409385681152344e-05
2025-10-03 15:18:59,small,6.318092346191406e-05
2025-10-03 15:18:59,small,0.00011897087097167969
2025-10-03 15:19:00,small,8.893013000488281e-05
2025-10-03 15:19:00,small,7.295608520507812e-05
2025-10-03 15:19:00,small,5.1021575927734375e-05
2025-10-03 15:19:00,small,9.489059448242188e-05
2025-10-03 15:19:01,small,2.9087066650390625e-05
2025-10-03 15:19:01,small,6.198883056640625e-05
2025-10-03 15:19:01,small,0.00010085105895996094
2025-10-03 15:19:01,small,0.00012612342834472656
2025-10-03 15:19:02,small,0.0011928081512451172
2025-10-03 15:19:02,small,0.00010323524475097656
2025-10-03 15:19:02,small,0.0001220703125
2025-10-03 15:19:02,small,0.00010204315185546875
2025-10-03 15:19:03,small,6.818771362304688e-05
2025-10-03 15:19:03,small,0.0004830360412597656
2025-10-03 15:19:03,small,0.0001761913299560547
2025-10-03 15:19:04,small,7.009506225585938e-05
2025-10-03 15:19:04,small,0.0001552104949951172
2025-10-03 15:19:04,small,4.673004150390625e-05
2025-10-03 15:19:04,small,0.00016188621520996094
2025-10-03 15:19:05,small,0.00011801719665527344
2025-10-03 15:19:05,small,8.225440979003906e-05
2025-10-03 15:19:05,small,0.00011706352233886719
2025-10-03 15:19:05,small,9.226799011230469e-05
2025-10-03 15:19:06,small,3.814697265625e-05
2025-10-03 15:19:06,small,0.00014209747314453125
2025-10-03 15:19:06,small,8.606910705566406e-05
2025-10-03 15:19:06,small,0.0002067089080810547
2025-10-03 15:19:07,small,0.00016498565673828125
2025-10-03 15:19:07,small,0.0001270771026611328
2025-10-03 15:19:07,small,8.916854858398438e-05
2025-10-03 15:19:07,small,6.4849853515625e-05
2025-10-03 15:19:08,small,0.00015997886657714844
2025-10-03 15:19:08,small,0.00013399124145507812
2025-10-03 15:19:08,small,0.00015807151794433594
2025-10-03 15:19:08,small,5.1975250244140625e-05
2025-10-03 15:19:09,small,9.083747863769531e-05
2025-10-03 15:19:09,small,4.220008850097656e-05
2025-10-03 15:19:09,small,4.00543212890625e-05
2025-10-03 15:19:09,small,9.703636169433594e-05
2025-10-03 15:19:10,small,0.00015401840209960938
2025-10-03 15:19:10,small,0.00016427040100097656
2025-10-03 15:19:10,small,0.00011301040649414062
2025-10-03 15:19:10,small,0.00018596649169921875
2025-10-03 15:19:11,small,4.696846008300781e-05
2025-10-03 15:19:11,small,0.00015497207641601562
2025-10-03 15:19:11,small,0.00018787384033203125
2025-10-03 15:19:11,small,0.0001342296600341797
2025-10-03 15:19:12,small,9.441375732421875e-05
2025-10-03 15:19:12,small,0.00011682510375976562
2025-10-03 15:19:12,small,0.0001480579376220703
